"","chromosome","minpos","maxpos","npos","density"
"1","MT",3,16567,2459,0.148454479594301
"2","22",16114244,51211392,14100,0.000401742044681237
"3","20",63244,62912463,23834,0.000379225078357776
"4","13",19058717,115103529,36078,0.000375637155706026
"5","10",98087,135508269,50322,0.000371626411372817
"6","6",155815,170919470,63245,0.000370365696377253
"7","21",10827533,48100155,13404,0.000359620527903832
"8","18",13034,78015180,27971,0.000358592698206021
"9","11",198510,134940416,47972,0.000356028806657967
"10","12",191619,133777645,47125,0.000352768934079976
"11","14",19255726,107287663,30818,0.000350077495170872
"12","15",20034919,102461162,28400,0.000344550460707035
"13","8",164984,146293414,49215,0.000336792778790547
"14","16",88165,90163275,30167,0.000334909388398193
"15","17",8547,81051007,26688,0.000329308858590916
"16","7",44935,159119486,50965,0.000320384371224785
"17","3",61495,197838262,63285,0.000319981972402249
"18","2",18674,243048760,77346,0.000318256892687764
"19","19",260912,59097160,18533,0.00031499289349654
"20","5",27564,180696889,56019,0.00031006370339846
"21","1",82154,249218992,76909,0.000308701838786282
"22","9",46587,141066491,42969,0.000304701668212737
"23","4",71566,190963766,55017,0.000288209785418157
"24","X",62321,155236747,26007,0.000167598493323893
"25","Y",2649694,59032809,1766,3.13214337306479e-05
